ECON 3130,McKee,B+,Fall 2020,, ,,
ECON 3140,Molinari,B+,Spring 2018,58,,,
ECON 3320,Lyons,B+,Spring 2018,32,,,
ENGRD 2210,Pepiot,B+,Fall 2019,184,,B (SP 18; 43),
ENGRD 2510,Goldfarb,B+,Fall 2020,72,Crosslisted with BEE 2510 ,"A- (FA20, Pender) B (SP18), B (SP19)",
ENGRD 3200,Diamessis,B+,Spring 2019,57,,,
ENGRI 1100,MacMahon,B+,Fall 2019,28,,"A- (FA18, Alabi) ",
ENTOM 2010,Danforth,B+,Spring 2018,28,,,
GERST 1220 ,Matthias,B+,Fall 2019,16,,"A- (FA19, Van Es), A- (FA18, van Es)",
HADM 1410,Boone,B+,Spring 2019,135,,Fall 2022,
HADM 1650,Odom-Reed,B+,Fall 2018,119,Avoid this professor.,,
HADM 2210,Paz,B+,Fall 2019,Fall 2020,Fall 2021,,
HADM 2220,Carvell,B+,Fall 2019,148,,,
HIST 1511,Weil,B+,Fall 2019,33,,,
HIST 2969,Florea,B+,Fall 2020,51,,,
ILRLR 2050,Litwin,B+,Fall 2018,208,,,
ILRLR 4033,"Gold, Clark, Saleh",B+,Spring 2019,33,,A- (SP18),
ILRST 2100,Packard/Karns,B+,Fall 2018,441,,,
LING 4424,DelBusso,B+,Spring 2019,45,,,
MAE 2030,Ruina,B+,Spring 2018,150,,,
MAE 3230,Kirby,B+,Fall 2018,135,,,
MAE 3240,Avedesian,B+,Spring 2019,135,,"B (FA18, Finio) ",
MAE 3260,Ritz,B+,Spring 2019,139,,,
MATH 1120,,B+,Spring 2018,122,,"B (SP18, Sale)",
MATH 1220,Benjimin ,B+,Fall 2018,10,,"B+ (FA19, West, Meyer) B (FA16), A (SP16), B+ (FA15), B(FA17), A (SP19)",
MATH 1920,Sjamaar/Strogatz,B+,Fall 2020,476, ,A- (FA18),
MATH 2130,Frederico,B+,Spring 2019,32,,,
MATH 2930,Berest,B+,Fall 2020,383, ,"A- (FA19, Templier) B+ (FA18)",
MATH 2940,Townsend,B+,Fall 2020,412, gives A+s,,
MATH 3110,Saloff-Coste/Nadeau,B+,Fall 2020,, ,B+ (SP18 Knutson),
MATH 3320,Templier,B+,Fall 2020,78, ,,
MATH 3340,Sale,B+,Spring 2018,28,,"A- (FA18, Strogatz) ",
MATH 3360,Kassabov,B+,Spring 2019,32,,"B+ (SP18 with Sen, 15 stud)",
MATH 4340,Sen,B+,Spring 2019,12,,,
MATH 4410,Frick,B+,Spring 2018,32,,,
MATH 4710,Saloff-Coste,B+,Spring 2019,52,,,
MSE 3040,Suntivich,B+,Spring 2019,23,,,
MUSIC 2101,Moseley,B+,Fall 2018,27,,,
MUSIC 2102,Gotham,B+,Spring 2019,,,"A+ (SP18, FA18)",
PHIL 1110,Various (FWS),B+,s,67,,,
PHYS 1102,Taylor,B+,Spring 2019,204,brutal,,
PHYS 2207,Gruner (retired Fall 2019),B+,Fall 2019,342,,"A- (SP19, Niemack) B+ (SP18, 65 stud); A- (FA18 with Elser, 23 stud)",
PHYS 2208,Case,B+,Spring 2019,335,,"A (SP19, Leclair) B+ (SP18)",
PHYS 2213,Bazarov,B+,Fall 2020,429, ,B+ (SP18),
PHYS 2214,Liepe,B+,Spring 2018,201,,,
PHYS 3310,Franck,B+,Spring 2019,18,,,
PHYS 3316,Nowack,B+,Fall 2019,29,gives A+s,,
PHYS 3318,Maxson,B+,Spring 2019,54,,,
PHYS 3318,Maxson,B+,Spring 2021,66,,"A+ (FA18, Silva) ",
PSYCH 2090,Schwade,B+,Spring 2018,132,,,
PSYCH 2150,Christiansen,B+,Spring 2019,71,,,
SPAN 2095,"Amigo-Silvestre, Maldonado-Mendez",B+,Fall 2019,54,,,
STSCI 3080,Moisey,B+,Spring 2018,91,engl,,
,Frazier,B+,Spring 2019,209,,,
,Bracy,B+,Fall 2020,146, ,,
NTRES 3311,Wolf,B+,Fall 2021,60,,,
